rank,model,validation_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
1,XGBoost,0.7844827586206896,0.9258064516129032,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.9481166666666666
2,Decision Tree,0.7310924369747899,0.9064516129032258,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.8501666666666666
3,Bagging,0.6802030456852792,0.9064516129032258,0.8974358974358975,0.5833333333333334,0.7070707070707071,0.9294250000000001
4,Random Forest,0.5747126436781609,0.885483870967742,0.8656716417910447,0.48333333333333334,0.6203208556149733,0.9571916666666667
5,Gradient Boosting,0.47668393782383417,0.864516129032258,0.75,0.45,0.5625,0.8781666666666668
6,AdaBoost,0.4563758389261745,0.7564516129032258,0.40718562874251496,0.5666666666666667,0.4738675958188153,0.7286083333333334
