rank,model,validation_f1,best_params,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
1,XGBoost,0.788135593220339,"{'model__learning_rate': 0.1, 'model__n_estimators': 200}",0.9419354838709677,0.8442622950819673,0.8583333333333333,0.8512396694214877,0.9698833333333334
2,Bagging,0.7439613526570048,"{'model__max_samples': 1.0, 'model__n_estimators': 30}",0.9306451612903226,0.9139784946236559,0.7083333333333334,0.7981220657276995,0.9774250000000001
3,Decision Tree,0.6568265682656826,"{'model__max_depth': 10, 'model__min_samples_split': 5}",0.8419354838709677,0.5679012345679012,0.7666666666666667,0.6524822695035462,0.8530583333333334
4,Random Forest,0.6033519553072626,"{'model__max_depth': 20, 'model__n_estimators': 200}",0.9064516129032258,0.918918918918919,0.5666666666666667,0.7010309278350515,0.9789166666666668
5,Gradient Boosting,0.5326633165829145,"{'model__learning_rate': 0.1, 'model__n_estimators': 200}",0.885483870967742,0.810126582278481,0.5333333333333333,0.6432160804020101,0.9023833333333333
6,AdaBoost,0.4563758389261745,"{'model__learning_rate': 1.0, 'model__n_estimators': 50}",0.7564516129032258,0.40718562874251496,0.5666666666666667,0.4738675958188153,0.7154583333333333
